disease_name,check_method
氨基甲酸酯类农药中毒,"['大生化检查', '血清胆碱酯酶（CHE）']"
阿米巴肠病,"['阿米巴原虫抗原和抗体', '血常规', '涂片', '肠镜', '便常规', '酶联免疫吸附试验', '自然杀伤细胞活性']"
阿片类药物中毒,"['大生化检查', '尿常规', '血常规']"
柏-查综合征,"['腹部CT', '腹部MRI检查']"
Brenneman综合征,"['腹部平片', '腹部CT', '腹部MRI检查', '血常规']"
巴瑞特综合征,"['食管钡餐透视', '纤维胃镜检查', '脱落细胞检查', '胃钡餐造影', '上消化道X线钡餐']"
半乳糖血症,"['α-D-半乳糖-1-磷酸转尿苷酰酶', '直接胆红素', '尿半乳糖', '尿戊糖', '尿乳糖']"
暴发性肝功能衰竭,"['阿-曼氏试验', '血浆蛋白S测定', '凝血酶时间', '腹部透视', '肝促凝血活酶试验', '尿氨（NH3）', '血浆蛋白C活性测定', '腹部CT', '血浆凝血酶检测', '色氨酸']"
鞭虫病,"['纤维结肠镜检查', '便常规', '涂片', '血常规']"
布卡综合症,"['大生化检查', '凝血酶原时间（PT）', '血液生化六项检查', '血浆凝血酶检测', '腹部血管超声检查']"
暴发性肝炎样综合征,"['腹部CT', '腹部MRI检查', '尿常规', '血清谷草转氨酶与血清谷-丙转氨酶比值', '总胆红素（TBIL,STB）']"
便秘,"['直肠指检', '便常规', '肠镜', '腹部平片']"
吡唑酮类中毒,"['肾功能检查', '尿常规', '血常规']"
Barrett食管,"['脱落细胞检查', '胃钡餐造影', '上消化道X线钡餐', '食管钡餐透视']"
贲门失弛缓症,"['补体结合试验', '上消化道X线钡餐', '胸部平片', '无痛胃镜', '胃肠道显像', '内镜检查', '胃钡餐造影', '胃肠道疾病的超声检查', '造影检查']"
钡中毒,"['心电图', '血常规', '肾功能检查', '尿常规']"
变形杆菌食物中毒,"['便常规', '血凝试验', '细菌性食物中毒检测', '血常规']"
蓖麻子中毒,"['血液生化六项检查', '大生化检查', '血常规', '肾功能检查', '尿常规']"
铋中毒,"['尿常规', '血常规', '肾功能检查', '血液生化六项检查', '大生化检查']"
丙型病毒性肝炎,"['丙型肝炎RNA', '丙型肝炎病毒抗体免疫球蛋白G', '肝、胆、胰、脾的MRI检查', '抗丙型肝炎病毒IgA抗体', '直接胆红素/间接胆红素比值', '腹部CT', '腹部外形检查', '丙型肝炎病毒抗体免疫球蛋白M', '丙型肝炎抗体检测（抗-HCV-Ig）', '腹部叩诊音']"
肠病性肢皮炎综合征,"['肾功能检查', '皮肤涂片显微镜检查', '皮肤病的物理检查', '血常规', '尿常规']"
肠道菌群失调症,"['粪便人体酿母菌', '粪便菌群失调', '肠镜', '粪便酵母菌', '血常规', '便常规', '尿常规', '涂片']"
肠扭转综合征,"['腹部平片', '肠鸣音', '胃肠道疾病的超声检查', '腹部CT', '腹部听诊', '胃肠道CT检查', '直肠指检', '腹部叩诊']"
肠气肿综合征,"['肠镜', '纤维肠镜']"
肠系膜淋巴结结核,"['血常规', '腹部平片', '胆道造影']"
肠系膜上动脉压迫综合征,"['胃肠道CT检查', '胃肠道疾病的超声检查']"
粗制棉子油中毒,"['尿常规', '肾功能检查']"
肠扭转,"['胃肠道CT检查', '腹部平片', '腹部叩诊', '肠鸣音', '腹部CT', '胃肠道疾病的超声检查', '腹部听诊', '直肠指检']"
肠套叠,"['腹部平片', '胃镜', '血管造影', '内镜检查', '纤维结肠镜检查', '直肠指检', '纤维胃镜']"
肠间脓肿,"['CT检查', '腹部平片', '尿常规', '胃肠道疾病的超声检查', '腹部CT', '便常规', '血常规']"
残胃癌,"['胃液胃癌相关抗原', '胃液乳酸测定', '胃钡餐造影', '胃镜', '胃粘膜活检', '血常规']"
残窦综合征,"['胃肠道CT检查', '胃肠道疾病的超声检查', '胃钡餐造影', '造影检查', '上消化道X线钡餐', '胰岛素']"
肠易激综合征,"['血常规', '纤维结肠镜检查', '造影检查', '便常规', '胃肠道CT检查', '胃肠道疾病的超声检查']"
肠梗阻,"['胃肠道疾病的超声检查', '胃液气味', '血液电解质检查', '胃肠道CT检查', '胃肠道功能动力学检查']"
苍耳中毒,"['血常规', '血液生化六项检查', '尿常规', '大生化检查', '肾功能检查']"
肠道病毒所致各系统感染,"['心电图', '脑膜刺激征', '酶联免疫吸附试验', '皮疹', '维生素B1', '皮肤试验']"
肠系膜上动脉栓塞,"['腹部平片', '腹腔穿刺', '酶学检查', '红细胞比容']"
肠道气囊肿症,"['胃肠道疾病的超声检查', '胃肠道CT检查', '腹部平片', '肠镜', '内镜检查', '胃肠道功能动力学检查']"
餐后血糖过低症,"['血糖', '尿常规', '血液生化六项检查', '血常规']"
肠结核,"['粪特里布累', '内镜检查', '特里布累氏试验', '乙状结肠镜检查', '涂片', 'X线钡影跳跃征', '腹腔镜', '纤维结肠镜检查', '结核菌素试验（OT,PPD）']"
肠系膜上静脉血栓形成,"['肠鸣音', '腹部平片', '腹腔穿刺', '血常规', '尿常规', '血管造影', '便常规', '胃肠道疾病的超声检查']"
大网膜扭转,"['腹部平片', '腹腔穿刺', '大生化检查', '腹腔镜', '血常规', '胃肠道疾病的超声检查']"
胆道运动功能障碍综合征,"['直接胆红素/间接胆红素比值', '口服胆囊造影', '经皮经肝胆道造影术', '胆道运动功能检测', '总胆红素（TBIL,STB）']"
胆道张力低下综合征,"['口服胆囊造影', '腹部平片', '胃肠道疾病的超声检查', '经皮经肝胆道造影术']"
胆囊管综合征,"['口服胆囊造影', '血常规', '胆道造影', '缩胆囊素']"
胆石性肠绞塞综合征,"['腹部平片', '血常规', '胆囊超声波检查', '经皮经肝胆道造影术', '腹部CT', '腹部MRI检查', '腹部外形触诊']"
胆汁淤积性黄疸,"['大生化检查', 'δ-胆红素', '粪便脂肪定量', '胆囊胆道B超检查', '血清脂蛋X', '5＇-核苷酸酶', '尿液颜色', '经皮经肝胆道引流术', '经皮经肝胆道造影术', '腹部平片']"
第五日综合征,"['血常规', '腹部平片', '腹部外形触诊', '腹部CT', '腹腔穿刺', '直肠指检']"
蛋白丧失胃肠综合征,"['造影检查', '胃肠道疾病的超声检查', '上消化道X线钡餐']"
胆囊-结肠肝曲粘连综合征,"['胆囊胆道B超检查', '胆道镜检查', '胆道造影']"
胆石症,"['异柠檬酸脱氢酶', '大生化检查', '维生素K', '口服胆囊造影', '苷-胆酸', '粪胆原', '胆道支架引流（ERBD）', '血清铁/铜比值']"
胆囊切除术后综合征,"['胰腺外分泌功能试验', '心电图', '动物实验', '胃镜', '体位']"
大肠息肉,"['无痛内视镜检查', '无痛肠镜', '肠镜', '直肠镜检查', '内镜检查', '胃肠道显像', '胃肠道功能动力学检查']"
多发性消化道息肉综合征,"['肠镜', '血常规', '内镜检查', '直肠指检', '直肠镜检查', '便常规', '十二指肠胃反流测定和显像']"
大肠梗阻,"['血液电解质检查', '胃肠道CT检查', '胃肠道疾病的超声检查', '胃肠道功能动力学检查']"
胆汁性肝硬化,"['粪胆原', '抗平滑肌抗体', '类风湿因子', '抗线粒体抗体', '血清碱性磷酸酶', '尿常规', '经皮经肝胆道造影术', '直接胆红素', '抗线粒体抗体（AMA）', '抗乙酸胆碱受体抗体（anti-AchR）']"
丁型病毒性肝炎,"['血清碱性磷酸酶', '免疫印迹技术', '肝脏超声检查', '前S抗体', '丁型肝炎抗体', '肝脏及胆囊叩诊', '肝脏触诊']"
胆汁返流性胃炎,"['胃镜', '血清胆汁酸测定（TBA）', '上消化道X线钡餐', '十二指肠钡餐造影', '胃钡餐造影']"
胆管癌,"['胰胚抗原', '尿胆原', '剖腹探查', '糖链抗原50', '血管造影', '内镜检查', '胆道镜检查', '胆道造影', 'CT检查', '直接胆红素']"
大肠类癌,"['直肠镜检查', '肠镜', '血常规', '便常规', '直肠指检', '癌症普查']"
毒蕈中毒,"['大生化检查', '血常规', '尿常规', '肾功能检查']"
敌鼠中毒,"['血常规', '尿常规', '肾功能检查', '大生化检查', '血液酸碱度（pH）']"
大肠癌,"['端粒酶活性', '糖链抗原242', '匿血试验', '蛋白质类肿瘤标志物检测', '直肠指检', '血管造影', '氧化酶试验', '肠镜', '内镜检查', '血常规']"
大肠恶性淋巴瘤,"['直肠指检', '便常规', '血管造影', '氧化酶试验', '内镜检查', '肠镜', '血常规', '直肠镜检查']"
Ehler-Danlos综合征,"['内镜检查', '血管造影']"
儿童胰腺功能不全并中性粒细胞减少症综合征,"['便常规', '血常规']"
儿童腹痛,"['血常规', '腹部CT', '腹部平片', '便常规', '腹部透视', '吲哚试验']"
呃逆症,"['胃肠道功能动力学检查', '胃肠道疾病的超声检查', '胃肠道CT检查', '胃肠型和蠕动波']"
非溃疡消化不良,"['胃肠道疾病的超声检查', '胃肠型和蠕动波', '胃肠道功能动力学检查', '粪便结缔组织与弹力纤维', '粪便肌肉纤维', '粪便植物细胞与植物纤维', '血常规', '内镜检查', '尿常规']"
分流性高胆红素血症综合征,"['球形红细胞', '血液检查']"
粪类圆线虫病,"['胃肠道疾病的超声检查', '血常规', '胃肠道CT检查', '便常规']"
腹肌缺如综合征,"['腹部CT', '腹部平片', '腹部叩诊', '腹部外形触诊', '肾功能检查', '尿常规']"
腹绞痛综合征,"['腹部叩诊音', '腹部透视', '腹部CT', '腹部外形触诊', '腹部平片', '血常规']"
腹膜后感染与脓肿,"['腹部平片', '腹部外形触诊', '腹部叩诊', '血常规', '腹部CT', '尿常规']"
腹膜后间隙出血,"['血管造影', 'CT检查']"
腹膜后淋巴结炎,"['腹部血管超声检查', '腹部叩诊', '血液生化六项检查', '腹部CT', '血常规', '腹部外形触诊']"
腹膜后腔液体渗病,"['腹部血管超声检查', '腹部CT', '腹部平片', '血常规']"
腹膜后疝,"['腹部平片', '腹部CT', '腹部叩诊音', '腹部外形触诊', '腹部MRI检查']"
腹膜间皮瘤,"['腹腔镜', '腹水检查', '浆膜腔积液', '纤维蛋白降解产物', '腹部平片']"
腹腔动脉压迫综合征,"['腹部平片', '血常规', '腹部CT', '腹部外形触诊']"
腹型癫痫综合征,"['腹部平片', '脑多普勒超声（TCD）', '腹部CT', '脑电图检查', '血液生化六项检查']"
腹型偏头痛综合征,"['脑电图检查', '腹部CT', '血管造影', '血液生化六项检查', '腹部外形触诊', '腹部平片', '血常规']"
腹主动脉血栓形成综合征,"['腹部平片', '血管造影', '腹部CT', '血液生化六项检查']"
腹卒中综合征,"['腹腔穿刺', '腹部平片', '腹部外形检查', '血常规', '腹部CT']"
Felty综合征,"['狼疮细胞', '类风湿因子', '腹部CT', '类风湿相关核抗原(RANA)抗体']"
腹痛,"['腹腔穿刺', '肠镜', '腹部平片', '肛门指检', '膀胱镜']"
腹膜炎,"['胸腹水检查', '腹壁反射', '肠鸣音', '压痛及反跳痛', '腹部叩诊', '腹腔穿刺', '腹部外形触诊', '脉搏', '剖腹探查', '浆膜腔积液病原体']"
腹泻,"['便常规', '粪便性状', '肛门指检', '尿常规', '小肠镜检查']"
反流性食管炎,"['食管24hpH监测', '内镜检查', '胃镜', '胃食管反流测定和显像']"
沙门氏菌属食物中毒,"['肾功能检查', '血常规', '便常规', '血液生化六项检查']"
放射性肠炎,"['粪便脂肪', '血管造影', '乙状结肠镜检查', '内镜检查', '腹部平片', '便常规', '维生素B1', '血常规']"
福尔马林中毒,"['大生化检查', '尿常规', '肾功能检查', '血常规']"
发芽马铃薯中毒,"['心电图', '肾功能检查', '大生化检查', '尿常规', '血常规']"
副溶血性弧菌食物中毒,"['粪细菌培养', '血常规', '大生化检查', '肾功能检查', '尿常规', '便常规']"
非寄生虫性肝囊肿,"['腹部平片', '寄生虫排泄物和分泌物检查', '腹部外形触诊', '腹部CT']"
非酒精性脂肪性肝病,"['腹部包块', '血清甘油三脂', '腹部平片', '血脂检查', '腹部MRI检查']"
非霍乱弧菌感染,"['便常规', '血常规', '粪便菌群失调']"
肛门闭锁,"['腹部平片', '肛门视诊', '腹部CT', '腹部MRI检查']"
高锰酸钾中毒,"['大生化检查', '肌张力检查', '闭目难立征']"
肝-甲状腺综合征,"['甲状腺、甲状旁腺的超声检查', '肝脏疾病超声诊断', '血清总甲状腺素（TT4）']"
肝纤维化,"['肝脏疾病超声诊断', '肝纤维化指标检查', '反映肝脏间质变化的试验', '透明质酸', '纤维连接蛋白', '肝纤四项', '肝脏及胆囊叩诊', '层粘连蛋白', '血清Ⅳ型胶原蛋白', '血清Ⅲ型胶原蛋白']"
肝肺综合症,"['造影检查', '血管造影', '肝脏疾病超声诊断', '胸部平片', '氧分压']"
Gardner综合征,"['肠镜', '便常规', '纤维结肠镜检查', '乙状结肠镜检查', '直肠指检', '肿瘤相关抗原']"
功能性呕吐,"['腹部平片', '胃肠道功能动力学检查']"
肝性脊髓病,"['脑多普勒超声（TCD）', '肝脏疾病超声诊断', '叶酸', '血管造影', '血氨']"
肝炎双重感染,"['肝、胆、脾CT检查', '抗肝细胞膜特异性脂蛋白抗体（ALSP）', '尿胆红素（BIL）', '尿胆原（URO）', '抗平滑肌抗体（ASMA）', '抗肝肾微粒体抗体测定（LKM）', '血清白蛋白与球蛋白比值（A/G）', '血清总蛋白（TP,TP0）']"
肝炎后综合征,"['间接胆红素', '凝血酶原时间（PT）', '肝脏疾病超声诊断', '乙型肝炎病毒表面抗原（HBsAg）', '弓形虫抗体', '血清γ-谷氨酰转肽酶（γ-GTP）', '血清γ-谷氨酰转肽酶', '结合胆红素(SDB,DBIL)']"
膈膨出和麻痹,"['胸部B超', '胸部CT检查', '胸部疾病体征检查', '胸部平片']"
肝性脑病,"['色氨酸', '脑脊液谷氨酰胺', '谷氨酰胺', '胃液气味', '血氨']"
肝硬化,"['胰高血糖素负荷试验', '复方碘试验', '肝纤四项', '肝纤维化指标检查', '利多卡因代谢试验', '反映肝脏贮备功能的试验', '反映肝脏间质变化的试验', '对氨马尿酸合成试验', '血清游离胆固醇', '胰多肽']"
肝脓肿,"['肝、胆、脾CT检查', '肝脏疾病超声诊断', 'CT检查', '絮状沉淀试验', '肝表面状态和边缘', '肝大小', '肝区及胆囊叩击痛', '肝压痛', '肝质地', '血清胆碱酯酶（CHE）']"
功能性消化不良,"['尿常规', '粪便淀粉颗粒', '胃肠道功能动力学检查', '胃充盈及排空功能检查', '胃排空测定和显像', '内镜检查', '粪形状和硬度', '胃肠型和蠕动波', '粪便植物细胞与植物纤维', '胃液尿素测定']"
钩虫病,"['钩蚴培养法', '涂片', '补体结合试验', '抗原皮内试验']"
肝腺瘤,"['肝脏超声检查', '血管造影', '肝、胆、胰、脾的MRI检查']"
肝外胆管损伤,"['肝、胆、胰、脾的MRI检查', '腹部平片', '腹腔穿刺', '肝脏及胆囊叩诊', '肝压痛', '肝上、下界叩诊']"
肝损伤,"['肝脏疾病超声诊断', '肝腹水的检查', '血浆蛋白S测定', '肝脏触诊', '肝功能检查', '血清山梨醇脱氢酶', '肝脏及胆囊叩诊', '血清甘-鹅去氧胆酸', '色氨酸耐量试验', '腹腔穿刺']"
